account_id,customer_id,account_type,account_status,open_date,branch_id,current_balance,min_balance,interest_rate,nomination_set,overdraft_limit
ACC000001,CUST00001,Current,Active,2022-10-23,BR026,3209366.69,10000,5.17,1,30602.0
ACC000002,CUST00002,Salary,Active,2022-06-17,BR017,58976.86,0,3.47,1,0.0
ACC000003,CUST00002,Current,Active,2023-02-18,BR017,2560768.64,10000,7.25,1,31429.0
ACC000004,CUST00003,Savings,Active,2023-12-25,BR013,16099.65,1000,6.53,1,0.0
ACC000005,CUST00003,Fixed Deposit,Active,2023-12-24,BR013,925897.98,0,6.96,0,0.0
ACC000006,CUST00004,Savings,Active,2023-06-18,BR040,395176.34,1000,3.16,1,0.0
ACC000007,CUST00004,Fixed Deposit,Active,2022-02-14,BR040,4948789.47,0,3.93,0,0.0
ACC000008,CUST00005,Savings,Active,2022-12-15,BR043,123395.73,1000,3.91,1,0.0
ACC000009,CUST00006,Savings,Dormant,2023-02-28,BR039,437021.07,1000,4.45,1,0.0
ACC000010,CUST00007,Salary,Active,2022-11-20,BR043,112425.56,0,3.54,1,0.0
ACC000011,CUST00008,Fixed Deposit,Active,2023-02-03,BR050,3548780.56,0,3.95,0,0.0
ACC000012,CUST00009,Savings,Active,2023-11-04,BR050,12047.52,1000,2.62,1,0.0
ACC000013,CUST00010,Fixed Deposit,Active,2023-10-10,BR036,7324832.74,0,2.72,0,0.0
ACC000014,CUST00011,Fixed Deposit,Active,2023-12-13,BR049,8551622.06,0,3.21,1,0.0
ACC000015,CUST00012,Savings,Dormant,2022-05-24,BR035,72518.65,1000,4.3,0,0.0
ACC000016,CUST00013,Salary,Active,2020-05-18,BR025,64381.09,0,6.37,1,0.0
ACC000017,CUST00013,Savings,Closed,2019-04-07,BR025,375010.17,1000,6.38,1,0.0
ACC000018,CUST00014,Current,Active,2023-04-09,BR035,1300696.76,10000,3.27,1,17874.0
ACC000019,CUST00014,Salary,Active,2020-10-25,BR035,131077.02,0,5.0,0,0.0
ACC000020,CUST00015,Salary,Active,2021-03-05,BR047,278304.54,0,5.99,0,0.0
ACC000021,CUST00016,Savings,Active,2022-07-02,BR004,366789.94,1000,3.37,1,0.0
ACC000022,CUST00016,Fixed Deposit,Active,2022-08-27,BR004,7110824.03,0,6.14,1,0.0
ACC000023,CUST00017,Salary,Active,2023-03-15,BR031,72431.63,0,7.16,1,0.0
ACC000024,CUST00018,Savings,Active,2018-09-20,BR002,197675.01,1000,3.15,1,0.0
ACC000025,CUST00019,Fixed Deposit,Active,2020-01-15,BR050,7119396.29,0,3.88,1,0.0
ACC000026,CUST00020,Savings,Active,2022-12-14,BR045,183924.98,1000,5.26,1,0.0
ACC000027,CUST00020,Current,Active,2020-08-25,BR045,4824471.31,10000,7.19,1,40233.0
ACC000028,CUST00021,Current,Active,2015-11-10,BR043,2389371.2,10000,5.9,1,17825.0
ACC000029,CUST00022,Fixed Deposit,Dormant,2020-09-27,BR028,4451416.22,0,4.6,1,0.0
ACC000030,CUST00022,Savings,Active,2021-05-07,BR028,312850.14,1000,3.82,0,0.0
ACC000031,CUST00023,Current,Active,2023-08-22,BR021,975696.33,10000,6.08,1,10797.0
ACC000032,CUST00024,Salary,Dormant,2021-08-01,BR012,28544.46,0,3.1,1,0.0
ACC000033,CUST00025,Current,Active,2020-06-29,BR016,347884.05,10000,5.64,1,49834.0
ACC000034,CUST00026,NRI,Active,2023-08-28,BR045,13363010.63,0,6.45,0,0.0
ACC000035,CUST00027,Current,Active,2021-11-26,BR020,4513993.56,10000,3.06,1,9076.0
ACC000036,CUST00028,Current,Active,2020-02-03,BR047,2785007.78,10000,5.83,1,18068.0
ACC000037,CUST00029,Savings,Active,2019-02-16,BR018,234069.26,1000,7.02,1,0.0
ACC000038,CUST00030,Current,Active,2023-05-01,BR022,4446550.52,10000,2.93,1,16994.0
ACC000039,CUST00031,Salary,Active,2022-11-02,BR037,208647.02,0,7.49,1,0.0
ACC000040,CUST00031,Fixed Deposit,Active,2022-12-10,BR037,316663.52,0,5.22,1,0.0
ACC000041,CUST00032,Current,Active,2020-12-05,BR029,147320.77,10000,4.89,0,47188.0
ACC000042,CUST00033,Current,Active,2022-09-05,BR017,4877642.67,10000,3.73,0,34984.0
ACC000043,CUST00034,Salary,Active,2020-08-13,BR045,74200.28,0,4.14,1,0.0
ACC000044,CUST00035,Current,Active,2023-04-20,BR018,2328147.98,10000,4.8,1,31053.0
ACC000045,CUST00035,Savings,Dormant,2021-01-25,BR018,7866.54,1000,5.13,1,0.0
ACC000046,CUST00036,Savings,Active,2020-10-27,BR018,142221.7,1000,4.18,1,0.0
ACC000047,CUST00037,Savings,Active,2021-06-18,BR038,466444.78,1000,5.07,1,0.0
ACC000048,CUST00037,Salary,Active,2022-07-23,BR038,157123.93,0,4.12,1,0.0
ACC000049,CUST00038,NRI,Active,2021-07-19,BR038,6841712.61,0,4.02,1,0.0
ACC000050,CUST00039,Fixed Deposit,Active,2017-02-13,BR019,9017506.44,0,5.61,1,0.0
ACC000051,CUST00040,Savings,Active,2021-11-03,BR043,477762.06,1000,7.06,1,0.0
ACC000052,CUST00041,Savings,Active,2023-06-26,BR009,325999.19,1000,5.81,0,0.0
ACC000053,CUST00041,Fixed Deposit,Active,2023-12-23,BR009,2629540.83,0,3.03,0,0.0
ACC000054,CUST00042,Savings,Active,2019-06-13,BR036,302782.3,1000,5.37,1,0.0
ACC000055,CUST00043,Fixed Deposit,Active,2023-07-16,BR027,7533961.06,0,3.78,1,0.0
ACC000056,CUST00044,Salary,Active,2022-03-06,BR022,171273.75,0,6.82,1,0.0
ACC000057,CUST00045,Savings,Active,2022-10-02,BR035,223812.8,1000,7.29,1,0.0
ACC000058,CUST00045,Salary,Active,2023-04-10,BR035,140030.42,0,4.64,0,0.0
ACC000059,CUST00046,Current,Active,2023-12-12,BR003,2255583.02,10000,4.09,1,2619.0
ACC000060,CUST00047,Savings,Active,2022-12-10,BR038,439528.47,1000,6.2,1,0.0
ACC000061,CUST00047,Fixed Deposit,Dormant,2023-08-07,BR038,9983506.47,0,3.79,1,0.0
ACC000062,CUST00047,NRI,Active,2023-08-26,BR038,390340.2,0,3.96,1,0.0
ACC000063,CUST00048,Savings,Active,2022-01-19,BR031,401098.57,1000,4.37,0,0.0
ACC000064,CUST00049,Savings,Active,2022-11-08,BR035,451480.51,1000,2.75,0,0.0
ACC000065,CUST00050,NRI,Active,2021-08-21,BR011,19383653.85,0,4.85,1,0.0
ACC000066,CUST00050,Savings,Active,2020-03-05,BR011,59787.1,1000,6.96,0,0.0
ACC000067,CUST00051,Savings,Active,2021-03-20,BR011,3424.97,1000,4.21,1,0.0
ACC000068,CUST00051,Fixed Deposit,Active,2022-01-24,BR011,7887332.94,0,3.67,1,0.0
ACC000069,CUST00051,Current,Active,2022-05-26,BR011,1909480.67,10000,5.2,1,42.0
ACC000070,CUST00052,Fixed Deposit,Active,2023-02-26,BR030,5400039.97,0,5.53,1,0.0
ACC000071,CUST00052,Savings,Active,2017-12-22,BR030,451035.2,1000,6.61,0,0.0
ACC000072,CUST00053,Savings,Active,2022-04-16,BR013,63379.92,1000,4.67,0,0.0
ACC000073,CUST00053,Current,Active,2023-05-17,BR013,4330056.87,10000,6.58,1,24917.0
ACC000074,CUST00054,Savings,Active,2020-01-28,BR018,136905.52,1000,6.66,0,0.0
ACC000075,CUST00055,Savings,Active,2017-10-04,BR015,392183.1,1000,2.9,0,0.0
ACC000076,CUST00056,Savings,Active,2022-09-02,BR047,99290.65,1000,2.91,1,0.0
ACC000077,CUST00057,Fixed Deposit,Active,2021-01-12,BR011,5062152.92,0,4.68,0,0.0
ACC000078,CUST00057,Salary,Active,2023-10-24,BR011,146012.76,0,4.01,1,0.0
ACC000079,CUST00058,NRI,Active,2023-10-07,BR036,8798821.91,0,3.25,0,0.0
ACC000080,CUST00059,Savings,Active,2021-09-29,BR007,85999.62,1000,6.91,1,0.0
ACC000081,CUST00059,Current,Active,2023-09-01,BR007,3672725.67,10000,4.85,1,35440.0
ACC000082,CUST00060,Savings,Active,2023-07-21,BR008,69040.13,1000,5.38,1,0.0
ACC000083,CUST00060,Fixed Deposit,Active,2023-07-20,BR008,1270596.05,0,2.62,1,0.0
ACC000084,CUST00061,Savings,Active,2022-05-09,BR027,331246.75,1000,6.09,0,0.0
ACC000085,CUST00061,Current,Active,2023-09-20,BR027,1762021.05,10000,6.48,1,41502.0
ACC000086,CUST00062,Savings,Active,2020-08-22,BR014,325301.85,1000,2.54,1,0.0
ACC000087,CUST00062,Salary,Active,2023-10-26,BR014,73048.61,0,2.99,1,0.0
ACC000088,CUST00063,Savings,Active,2022-03-06,BR030,246283.53,1000,5.84,1,0.0
ACC000089,CUST00063,Fixed Deposit,Active,2021-09-12,BR030,8173394.71,0,4.42,0,0.0
ACC000090,CUST00064,Savings,Active,2022-12-24,BR014,177041.51,1000,5.86,0,0.0
ACC000091,CUST00065,Savings,Dormant,2022-11-07,BR017,156114.7,1000,7.13,1,0.0
ACC000092,CUST00065,Salary,Active,2020-04-30,BR017,174101.77,0,4.98,1,0.0
ACC000093,CUST00066,Current,Active,2017-04-20,BR009,2345418.14,10000,3.88,1,21556.0
ACC000094,CUST00067,Current,Active,2022-11-17,BR047,2076628.87,10000,5.47,1,39182.0
ACC000095,CUST00067,Savings,Active,2023-11-29,BR047,216465.48,1000,2.67,1,0.0
ACC000096,CUST00068,Savings,Active,2023-06-10,BR005,480086.23,1000,2.69,1,0.0
ACC000097,CUST00069,Savings,Active,2017-06-01,BR019,97796.34,1000,3.45,1,0.0
ACC000098,CUST00069,Fixed Deposit,Dormant,2019-01-01,BR019,8216933.82,0,3.04,1,0.0
ACC000099,CUST00070,Savings,Active,2016-10-18,BR027,200841.36,1000,5.16,1,0.0
ACC000100,CUST00070,Salary,Active,2019-10-11,BR027,44361.77,0,3.27,1,0.0
ACC000101,CUST00071,Savings,Dormant,2023-02-03,BR006,304697.78,1000,4.23,1,0.0
ACC000102,CUST00072,Savings,Active,2023-11-06,BR043,227080.31,1000,5.23,1,0.0
ACC000103,CUST00073,Fixed Deposit,Closed,2021-10-16,BR007,3315376.13,0,7.28,0,0.0
ACC000104,CUST00074,Fixed Deposit,Active,2021-04-11,BR002,8088459.88,0,6.53,1,0.0
ACC000105,CUST00075,Current,Active,2021-03-03,BR037,1259176.79,10000,5.17,1,47228.0
ACC000106,CUST00075,Savings,Active,2015-11-29,BR037,346557.8,1000,6.25,0,0.0
ACC000107,CUST00076,Fixed Deposit,Active,2019-07-27,BR050,1332645.38,0,7.17,1,0.0
ACC000108,CUST00076,Savings,Active,2021-11-17,BR050,474539.97,1000,4.47,0,0.0
ACC000109,CUST00077,Savings,Active,2023-12-11,BR039,263080.14,1000,3.08,0,0.0
ACC000110,CUST00077,Salary,Active,2023-12-12,BR039,147009.01,0,5.53,0,0.0
ACC000111,CUST00077,Current,Closed,2023-09-19,BR039,664269.73,10000,6.58,1,3854.0
ACC000112,CUST00078,Salary,Active,2023-10-02,BR003,97278.37,0,5.88,1,0.0
ACC000113,CUST00078,Savings,Active,2023-01-26,BR003,477598.64,1000,3.0,1,0.0
ACC000114,CUST00079,Fixed Deposit,Active,2023-11-06,BR012,798553.62,0,3.87,1,0.0
ACC000115,CUST00079,Salary,Active,2023-08-08,BR012,248746.65,0,6.12,1,0.0
ACC000116,CUST00080,Savings,Active,2022-09-16,BR030,168954.27,1000,5.66,1,0.0
ACC000117,CUST00081,Salary,Active,2017-02-09,BR030,158967.51,0,6.16,1,0.0
ACC000118,CUST00082,Salary,Active,2017-09-18,BR022,286550.81,0,2.77,1,0.0
ACC000119,CUST00083,Fixed Deposit,Active,2022-01-30,BR016,8389932.29,0,3.87,1,0.0
ACC000120,CUST00084,Savings,Dormant,2021-10-06,BR049,95623.6,1000,2.75,1,0.0
ACC000121,CUST00085,NRI,Active,2023-12-19,BR004,4325928.72,0,7.21,1,0.0
ACC000122,CUST00086,Current,Active,2023-03-14,BR039,2829378.04,10000,2.62,1,195.0
ACC000123,CUST00086,Fixed Deposit,Dormant,2017-06-01,BR039,906087.97,0,2.56,1,0.0
ACC000124,CUST00087,Savings,Active,2022-03-14,BR029,164944.16,1000,7.19,1,0.0
ACC000125,CUST00087,Fixed Deposit,Active,2020-06-21,BR029,6314517.86,0,4.68,1,0.0
ACC000126,CUST00088,Savings,Active,2021-04-18,BR011,222462.75,1000,3.63,1,0.0
ACC000127,CUST00089,Savings,Active,2021-07-16,BR019,468867.09,1000,4.45,1,0.0
ACC000128,CUST00090,Salary,Active,2023-11-16,BR009,69060.96,0,6.22,1,0.0
ACC000129,CUST00091,Current,Closed,2016-03-05,BR006,4163021.15,10000,4.23,0,4911.0
ACC000130,CUST00092,Fixed Deposit,Active,2023-12-21,BR010,6384047.43,0,4.68,1,0.0
ACC000131,CUST00092,Salary,Active,2023-12-29,BR010,291867.69,0,4.15,1,0.0
ACC000132,CUST00093,Savings,Dormant,2022-11-05,BR045,108393.97,1000,5.32,0,0.0
ACC000133,CUST00094,Current,Dormant,2023-01-09,BR015,1113025.99,10000,5.94,1,49320.0
ACC000134,CUST00095,Savings,Active,2023-04-12,BR033,393968.66,1000,5.84,1,0.0
ACC000135,CUST00096,Savings,Active,2022-10-31,BR008,211289.78,1000,7.42,1,0.0
ACC000136,CUST00097,Savings,Active,2021-10-11,BR002,299421.96,1000,6.09,0,0.0
ACC000137,CUST00097,Current,Active,2021-02-23,BR002,4383996.16,10000,3.95,1,8018.0
ACC000138,CUST00098,Fixed Deposit,Active,2023-06-25,BR010,5902982.79,0,3.28,0,0.0
ACC000139,CUST00098,Salary,Active,2023-01-16,BR010,191304.48,0,3.25,0,0.0
ACC000140,CUST00099,Savings,Active,2023-12-30,BR017,120249.28,1000,5.04,0,0.0
ACC000141,CUST00099,Salary,Active,2023-12-29,BR017,276913.51,0,4.91,1,0.0
ACC000142,CUST00099,NRI,Active,2023-12-26,BR017,10854099.75,0,2.7,1,0.0
ACC000143,CUST00100,Savings,Closed,2022-06-23,BR030,106641.49,1000,4.21,1,0.0
ACC000144,CUST00101,NRI,Active,2023-12-18,BR037,17705705.01,0,4.35,1,0.0
ACC000145,CUST00102,Current,Active,2021-12-11,BR031,4819995.75,10000,3.71,1,21058.0
ACC000146,CUST00103,Savings,Active,2021-12-23,BR048,410202.65,1000,6.44,0,0.0
ACC000147,CUST00104,Fixed Deposit,Active,2020-11-07,BR005,9385830.84,0,4.17,1,0.0
ACC000148,CUST00105,Savings,Active,2021-11-05,BR031,156991.72,1000,7.36,0,0.0
ACC000149,CUST00105,Fixed Deposit,Active,2022-01-20,BR031,3696186.45,0,6.72,1,0.0
ACC000150,CUST00106,Savings,Active,2022-12-29,BR026,181104.42,1000,4.14,1,0.0
ACC000151,CUST00107,Fixed Deposit,Dormant,2023-12-01,BR006,7702845.78,0,6.03,1,0.0
ACC000152,CUST00108,Savings,Active,2022-09-04,BR045,368644.97,1000,5.69,1,0.0
ACC000153,CUST00109,Savings,Active,2023-01-28,BR024,64813.13,1000,3.83,1,0.0
ACC000154,CUST00110,Current,Active,2023-09-27,BR024,997820.96,10000,3.65,1,2254.0
ACC000155,CUST00110,Savings,Active,2018-11-01,BR024,467921.16,1000,2.79,1,0.0
ACC000156,CUST00111,Current,Active,2018-10-21,BR026,3952475.33,10000,5.45,1,807.0
ACC000157,CUST00112,Savings,Closed,2023-07-07,BR046,156387.21,1000,3.45,1,0.0
ACC000158,CUST00112,Salary,Active,2023-10-01,BR046,14716.51,0,5.87,0,0.0
