investment_id,customer_id,investment_type,invested_amount,current_value,returns_pct,start_date,duration_years,maturity_date,annual_return_rate,status,risk_category,branch_id
INV00001,CUST02467,Fixed Deposit,2418656.0,3289369.0,36.0,2022-05-09,7,2029-05-07,12.32,Active,Low,BR033
INV00002,CUST01406,Mutual Fund,19867.0,25252.0,27.11,2021-05-28,5,2026-05-27,6.9,Active,High,BR034
INV00003,CUST02622,Stocks,807580.0,1134352.0,40.46,2022-04-09,5,2027-04-08,13.26,Matured,High,BR031
INV00004,CUST00399,Recurring Deposit,30055.0,36024.0,19.86,2022-05-15,7,2029-05-13,7.13,Active,Low,BR007
INV00005,CUST00064,Mutual Fund,321158.0,374641.0,16.65,2023-02-16,2,2025-02-15,8.58,Active,High,BR014
INV00006,CUST01288,Recurring Deposit,39376.0,64942.0,64.93,2021-07-20,7,2028-07-18,15.61,Active,Low,BR007
INV00007,CUST00126,PPF,106907.0,174804.0,63.51,2020-11-21,7,2027-11-20,12.71,Active,Low,BR044
INV00008,CUST02388,Mutual Fund,297620.0,337461.0,13.39,2023-01-04,1,2024-01-04,6.52,Active,High,BR004
INV00009,CUST00820,Recurring Deposit,9408.0,19083.0,102.84,2020-06-28,1,2021-06-28,16.98,Active,Low,BR001
INV00010,CUST00513,Recurring Deposit,18652.0,28269.0,51.56,2021-07-30,1,2022-07-30,12.92,Active,Low,BR020
INV00011,CUST01846,Recurring Deposit,13513.0,20216.0,49.6,2022-01-23,10,2032-01-21,14.7,Active,Low,BR048
INV00012,CUST02604,Mutual Fund,130387.0,200931.0,54.1,2021-02-24,3,2024-02-24,11.89,Matured,High,BR017
INV00013,CUST01985,Recurring Deposit,17212.0,22585.0,31.22,2022-07-17,3,2025-07-16,11.69,Active,Low,BR038
INV00014,CUST02485,Fixed Deposit,2987552.0,5826829.0,95.04,2020-09-29,5,2025-09-28,17.0,Active,Low,BR024
INV00015,CUST01610,PPF,112377.0,185018.0,64.64,2020-11-20,3,2023-11-20,12.89,Active,Low,BR016
INV00016,CUST01905,Mutual Fund,239023.0,344295.0,44.04,2020-03-12,2,2022-03-12,7.89,Matured,High,BR042
INV00017,CUST02302,Mutual Fund,416805.0,504053.0,20.93,2022-09-13,7,2029-09-11,8.62,Matured,High,BR004
INV00018,CUST00483,SIP,2948.0,4023.0,36.47,2022-09-18,10,2032-09-15,14.58,Active,Medium,BR020
INV00019,CUST01892,PPF,33624.0,64857.0,92.89,2020-12-25,7,2027-12-24,17.77,Active,Low,BR026
INV00020,CUST01743,Fixed Deposit,4666376.0,7630303.0,63.52,2021-10-17,5,2026-10-16,16.58,Active,Low,BR019
INV00021,CUST00250,PPF,37701.0,42721.0,13.32,2023-12-18,1,2024-12-17,12.83,Matured,Low,BR028
INV00022,CUST02881,Gold Bond,441510.0,732249.0,65.85,2021-03-23,7,2028-03-21,14.34,Active,Medium,BR043
INV00023,CUST01305,Stocks,842097.0,1571589.0,86.63,2020-04-05,2,2022-04-05,14.07,Active,High,BR041
INV00024,CUST00933,Stocks,546747.0,885680.0,61.99,2021-05-27,10,2031-05-25,14.35,Active,High,BR022
INV00025,CUST01254,Gold Bond,89520.0,125020.0,39.66,2020-08-27,7,2027-08-26,7.99,Matured,Medium,BR033
INV00026,CUST01217,Fixed Deposit,3187202.0,3933030.0,23.4,2023-05-27,5,2028-05-25,14.07,Withdrawn,Low,BR027
INV00027,CUST00867,Mutual Fund,102454.0,140409.0,37.05,2021-09-26,1,2022-09-26,10.14,Active,High,BR047
INV00028,CUST01121,Mutual Fund,251857.0,467167.0,85.49,2021-02-18,3,2024-02-18,17.33,Matured,High,BR046
INV00029,CUST01236,Mutual Fund,178412.0,334569.0,87.53,2021-02-23,10,2031-02-21,17.73,Active,High,BR015
INV00030,CUST01670,Fixed Deposit,451674.0,528150.0,16.93,2023-04-09,10,2033-04-06,9.47,Active,Low,BR002
INV00031,CUST02346,Mutual Fund,120039.0,143899.0,19.88,2022-05-01,3,2025-04-30,7.03,Active,High,BR036
INV00032,CUST01650,NPS,153304.0,232383.0,51.58,2021-04-25,10,2031-04-23,11.95,Active,Medium,BR005
INV00033,CUST02630,Gold Bond,306900.0,488786.0,59.27,2020-04-07,3,2023-04-07,10.33,Active,Medium,BR045
INV00034,CUST01297,Mutual Fund,73010.0,123073.0,68.57,2020-04-18,3,2023-04-18,11.74,Active,High,BR006
INV00035,CUST00994,Recurring Deposit,26703.0,36929.0,38.3,2021-02-12,3,2024-02-12,8.71,Matured,Low,BR028
INV00036,CUST00027,SIP,27002.0,44810.0,65.95,2021-05-03,3,2024-05-02,14.83,Matured,Medium,BR020
INV00037,CUST02557,Stocks,942002.0,1124702.0,19.39,2023-10-18,1,2024-10-17,15.88,Active,High,BR023
INV00038,CUST01475,PPF,70666.0,99673.0,41.05,2020-06-27,10,2030-06-25,7.92,Active,Low,BR015
INV00039,CUST00676,NPS,110584.0,134272.0,21.42,2022-01-01,1,2023-01-01,6.69,Matured,Medium,BR021
INV00040,CUST00011,Mutual Fund,230055.0,357992.0,55.61,2021-01-13,7,2028-01-12,11.8,Active,High,BR049
INV00041,CUST01288,Gold Bond,304197.0,447192.0,47.01,2022-05-06,1,2023-05-06,15.62,Active,Medium,BR007
INV00042,CUST00402,Recurring Deposit,42652.0,56285.0,31.96,2021-02-11,3,2024-02-11,7.4,Active,Low,BR009
INV00043,CUST02984,Gold Bond,170509.0,279012.0,63.63,2021-08-11,10,2031-08-09,15.64,Active,Medium,BR035
INV00044,CUST00707,Stocks,963295.0,1313267.0,36.33,2022-07-01,2,2024-06-30,13.19,Withdrawn,High,BR037
INV00045,CUST02283,SIP,30427.0,41569.0,36.62,2021-05-31,2,2023-05-31,9.09,Active,Medium,BR014
INV00046,CUST01053,Mutual Fund,70380.0,84855.0,20.57,2022-01-19,7,2029-01-17,6.55,Matured,High,BR035
INV00047,CUST01631,Mutual Fund,248583.0,334229.0,34.45,2020-11-23,1,2021-11-23,7.48,Matured,High,BR020
INV00048,CUST00330,Mutual Fund,158978.0,182547.0,14.83,2023-09-28,5,2028-09-26,11.62,Active,High,BR044
INV00049,CUST02382,SIP,26567.0,38955.0,46.63,2020-07-09,2,2022-07-09,8.92,Active,Medium,BR024
INV00050,CUST01087,Gold Bond,200558.0,240513.0,19.92,2023-03-21,7,2030-03-19,10.74,Active,Medium,BR027
INV00051,CUST01225,SIP,35571.0,56602.0,59.12,2021-06-15,2,2023-06-15,14.0,Active,Medium,BR014
INV00052,CUST02962,Gold Bond,169236.0,369234.0,118.18,2020-01-28,1,2021-01-27,17.16,Active,Medium,BR015
INV00053,CUST02720,NPS,87970.0,113944.0,29.53,2021-03-13,5,2026-03-12,7.04,Active,Medium,BR007
INV00054,CUST02338,PPF,132805.0,183981.0,38.53,2021-02-23,10,2031-02-21,8.83,Active,Low,BR038
INV00055,CUST00491,NPS,31001.0,43048.0,38.86,2021-06-21,10,2031-06-19,9.75,Matured,Medium,BR019
INV00056,CUST01026,Recurring Deposit,9512.0,17442.0,83.37,2021-04-26,3,2024-04-25,17.9,Active,Low,BR020
INV00057,CUST01912,Gold Bond,90364.0,109316.0,20.97,2023-10-09,3,2026-10-08,16.78,Active,Medium,BR013
INV00058,CUST00963,Mutual Fund,292872.0,348324.0,18.93,2023-06-07,3,2026-06-06,11.7,Active,High,BR035
INV00059,CUST01326,Gold Bond,266928.0,360053.0,34.89,2023-02-10,10,2033-02-07,17.18,Withdrawn,Medium,BR039
INV00060,CUST00403,Recurring Deposit,49927.0,61754.0,23.69,2021-07-30,1,2022-07-30,6.41,Matured,Low,BR031
INV00061,CUST01763,Recurring Deposit,35428.0,40626.0,14.67,2023-12-11,10,2033-12-08,13.86,Active,Low,BR048
INV00062,CUST01006,NPS,192951.0,237493.0,23.08,2022-03-14,10,2032-03-11,7.7,Withdrawn,Medium,BR027
INV00063,CUST01460,Fixed Deposit,186745.0,217497.0,16.47,2023-09-23,3,2026-09-22,12.74,Active,Low,BR046
INV00064,CUST00504,SIP,15861.0,25025.0,57.78,2021-01-05,7,2028-01-04,12.12,Active,Medium,BR046
INV00065,CUST02866,PPF,102128.0,115427.0,13.02,2023-10-24,3,2026-10-23,10.87,Active,Low,BR034
INV00066,CUST01471,Mutual Fund,383708.0,568319.0,48.11,2021-03-14,2,2023-03-14,10.89,Active,High,BR043
INV00067,CUST02506,Mutual Fund,213162.0,311118.0,45.95,2020-06-03,3,2023-06-03,8.61,Matured,High,BR002
INV00068,CUST01260,Gold Bond,482407.0,820112.0,70.0,2021-06-04,7,2028-06-02,16.0,Matured,Medium,BR038
INV00069,CUST00302,Recurring Deposit,42031.0,78428.0,86.6,2020-07-17,2,2022-07-17,15.02,Active,Low,BR027
INV00070,CUST02000,Stocks,709772.0,999752.0,40.86,2022-02-08,2,2024-02-08,12.57,Withdrawn,High,BR032
