loan_id,customer_id,loan_type,loan_amount,interest_rate,tenure_years,emi_amount,disbursement_date,maturity_date,outstanding_amount,paid_emis,total_emis,days_past_due,loan_status,collateral_type,branch_id,credit_score_at_sanction
LN000001,CUST01774,Gold Loan,319796.0,11.47,5,7028.0,2021-01-20,2026-01-19,241082.0,16,60,0,Active,Gold,BR026,820
LN000002,CUST00137,Car Loan,2355709.0,9.15,2,107784.0,2020-07-14,2022-07-14,1374875.0,13,24,365,NPA,Vehicle,BR041,652
LN000003,CUST02728,Business Loan,4753731.0,13.49,1,425680.0,2023-07-26,2024-07-25,3859803.0,3,12,0,Active,None,BR023,775
LN000004,CUST02752,Car Loan,2678546.0,10.91,3,87572.0,2023-07-29,2026-07-28,2678546.0,0,36,90,NPA,Vehicle,BR014,787
LN000005,CUST00174,Car Loan,2187521.0,9.61,7,35874.0,2020-08-20,2027-08-19,982155.0,48,84,0,Active,Vehicle,BR029,734
LN000006,CUST02056,Credit Card Loan,18442.0,20.47,2,943.0,2023-03-21,2025-03-20,15802.0,4,24,0,Active,None,BR009,637
LN000007,CUST00635,Education Loan,1552724.0,9.84,5,32872.0,2023-02-12,2028-02-11,678329.0,38,60,0,Active,None,BR027,638
LN000008,CUST02106,Credit Card Loan,76191.0,19.45,3,2810.0,2021-09-29,2024-09-28,11280.0,33,36,0,Active,None,BR039,900
LN000009,CUST02270,Car Loan,2288306.0,11.23,7,39457.0,2022-10-11,2029-10-09,1542569.0,27,84,0,Active,Vehicle,BR001,768
LN000010,CUST02069,Car Loan,2093576.0,8.94,7,33620.0,2024-03-16,2031-03-15,1387556.0,30,84,0,Active,Vehicle,BR015,791
LN000011,CUST00188,Personal Loan,479171.0,14.1,3,16399.0,2022-02-26,2025-02-25,352899.0,11,36,0,Active,None,BR020,687
LN000012,CUST00982,Gold Loan,409723.0,10.32,3,13282.0,2023-07-17,2026-07-16,102909.0,33,36,0,Active,Gold,BR003,719
LN000013,CUST00606,Business Loan,9384684.0,13.19,7,171692.0,2023-10-01,2030-09-29,8423209.0,8,84,60,Special Mention,None,BR016,832
LN000014,CUST02437,Gold Loan,272813.0,12.16,7,4840.0,2024-05-29,2031-05-28,113577.0,47,84,0,Active,Gold,BR007,708
LN000015,CUST00689,Gold Loan,84464.0,11.12,5,1842.0,2020-03-09,2025-03-08,23862.0,47,60,0,Active,Gold,BR029,766
LN000016,CUST00918,Gold Loan,499748.0,11.89,7,8791.0,2023-03-11,2030-03-09,419750.0,13,84,90,NPA,Gold,BR046,730
LN000017,CUST00268,Education Loan,1449948.0,12.32,1,129043.0,2023-06-09,2024-06-08,817637.0,7,12,0,Active,None,BR039,600
LN000018,CUST00593,Gold Loan,208498.0,10.29,7,3492.0,2023-05-17,2030-05-15,137610.0,29,84,0,Active,Gold,BR016,744
LN000019,CUST01687,Business Loan,1630946.0,11.27,3,53606.0,2021-07-03,2024-07-02,1443325.0,5,36,60,Special Mention,None,BR012,669
LN000020,CUST00383,Business Loan,5432004.0,11.09,3,178078.0,2023-06-20,2026-06-19,1443057.0,32,36,0,Active,None,BR045,709
LN000021,CUST02247,Credit Card Loan,158646.0,17.52,7,3290.0,2023-01-17,2030-01-15,137919.0,9,84,0,Active,None,BR001,638
LN000022,CUST02611,Business Loan,8266567.0,13.18,2,393697.0,2021-05-04,2023-05-04,8266567.0,0,24,0,Active,None,BR008,755
LN000023,CUST02787,Car Loan,2657816.0,9.83,2,122437.0,2022-01-10,2024-01-10,1372228.0,15,24,0,Active,Vehicle,BR031,662
LN000024,CUST02513,Business Loan,7855922.0,13.08,7,143248.0,2023-03-01,2030-02-27,6953460.0,9,84,0,Active,None,BR024,721
LN000025,CUST02492,Gold Loan,280403.0,9.07,2,12819.0,2020-04-24,2022-04-24,82990.0,22,24,0,Active,Gold,BR048,672
