ticket_id,customer_id,category,priority,status,created_date,resolved_date,resolution_hours,channel,satisfaction_score,agent_id
TKT000001,CUST01041,Card Issue,Low,Resolved,2024-10-31,2024-11-07,162.0,App,4.0,AGT041
TKT000002,CUST02208,KYC Update,Medium,In Progress,2022-08-08,,,Email,,AGT042
TKT000003,CUST01994,Interest Query,Critical,Resolved,2022-12-01,2022-12-03,54.0,Branch,5.0,AGT002
TKT000004,CUST00869,Net Banking Issue,Low,Resolved,2020-11-19,2020-11-23,73.0,Chat,5.0,AGT021
TKT000005,CUST02500,Loan Query,Medium,Resolved,2020-10-24,2020-10-30,150.0,Chat,2.0,AGT020
TKT000006,CUST02874,Net Banking Issue,Medium,Resolved,2024-08-16,2024-08-20,110.0,Phone,1.0,AGT001
TKT000007,CUST01572,Account Opening,Medium,Resolved,2021-05-23,2021-05-24,22.0,App,5.0,AGT014
TKT000008,CUST02647,Interest Query,High,Resolved,2020-06-09,2020-06-13,112.0,Branch,4.0,AGT044
TKT000009,CUST00469,Interest Query,Critical,In Progress,2020-09-27,,,App,,AGT019
TKT000010,CUST02646,Interest Query,Critical,Resolved,2022-05-07,2022-05-09,54.0,Email,4.0,AGT041
TKT000011,CUST02358,Fraud Report,Critical,In Progress,2024-12-07,,,Branch,,AGT030
TKT000012,CUST02871,Loan Query,Medium,Open,2021-05-25,,,Branch,,AGT034
TKT000013,CUST00971,Loan Query,Medium,Resolved,2023-10-27,2023-10-28,29.0,Branch,1.0,AGT014
TKT000014,CUST02085,Card Issue,High,Resolved,2023-12-14,2023-12-15,36.0,Email,4.0,AGT017
TKT000015,CUST00565,Net Banking Issue,High,Resolved,2020-11-04,2020-11-05,7.0,Email,1.0,AGT048
TKT000016,CUST02190,Net Banking Issue,Low,Resolved,2021-12-05,2021-12-10,117.0,App,4.0,AGT031
TKT000017,CUST01081,KYC Update,Critical,Resolved,2022-12-29,2023-01-02,90.0,Branch,5.0,AGT005
TKT000018,CUST01380,Interest Query,Low,Resolved,2021-12-14,2021-12-17,85.0,Chat,4.0,AGT037
TKT000019,CUST01900,Interest Query,Low,Resolved,2022-01-17,2022-01-17,4.0,Chat,4.0,AGT035
TKT000020,CUST00227,Fraud Report,Critical,Resolved,2023-01-18,2023-01-22,100.0,App,1.0,AGT029
TKT000021,CUST01199,Account Opening,Low,Resolved,2024-10-02,2024-10-08,137.0,Chat,1.0,AGT021
TKT000022,CUST01672,Loan Query,Medium,Resolved,2024-04-16,2024-04-20,118.0,App,4.0,AGT001
TKT000023,CUST02301,Card Issue,Medium,Resolved,2020-12-28,2021-01-02,114.0,Phone,1.0,AGT038
TKT000024,CUST02696,ATM Issue,Medium,Resolved,2021-09-20,2021-09-22,64.0,Phone,1.0,AGT022
TKT000025,CUST01159,Loan Query,Critical,Resolved,2023-06-05,2023-06-08,61.0,App,4.0,AGT029
TKT000026,CUST01252,Interest Query,Medium,Resolved,2021-10-07,2021-10-08,28.0,Chat,1.0,AGT001
TKT000027,CUST00222,KYC Update,Critical,Resolved,2021-12-31,2022-01-07,167.0,Email,3.0,AGT032
TKT000028,CUST00303,Interest Query,Critical,Resolved,2021-11-04,2021-11-08,82.0,Chat,4.0,AGT028
TKT000029,CUST00470,Net Banking Issue,Low,Resolved,2021-05-12,2021-05-16,89.0,Phone,4.0,AGT018
TKT000030,CUST02408,Card Issue,Low,Resolved,2023-06-17,2023-06-23,155.0,App,4.0,AGT011
TKT000031,CUST00999,Loan Query,Medium,Open,2021-02-02,,,Phone,,AGT032
TKT000032,CUST01705,Loan Query,Critical,Resolved,2022-03-21,2022-03-25,99.0,Email,5.0,AGT026
TKT000033,CUST01724,Loan Query,High,Resolved,2022-03-20,2022-03-22,35.0,Email,2.0,AGT024
TKT000034,CUST02614,Card Issue,Critical,Resolved,2020-06-15,2020-06-19,109.0,App,2.0,AGT019
TKT000035,CUST02703,General Query,Medium,Resolved,2020-07-08,2020-07-08,4.0,App,3.0,AGT024
TKT000036,CUST01074,Account Opening,Medium,Resolved,2020-07-09,2020-07-09,12.0,Phone,1.0,AGT046
TKT000037,CUST01976,Card Issue,Medium,Resolved,2020-10-24,2020-10-31,162.0,Branch,2.0,AGT043
TKT000038,CUST00720,Card Issue,Low,Resolved,2020-05-24,2020-05-26,60.0,Phone,5.0,AGT049
TKT000039,CUST02070,Transaction Dispute,Medium,Resolved,2022-09-13,2022-09-15,44.0,Phone,1.0,AGT039
TKT000040,CUST00091,Fraud Report,Critical,Resolved,2022-05-19,2022-05-24,141.0,Phone,5.0,AGT041
TKT000041,CUST02851,Account Opening,High,Resolved,2021-12-22,2021-12-24,36.0,Branch,3.0,AGT015
TKT000042,CUST01502,Net Banking Issue,Low,Resolved,2021-02-08,2021-02-13,118.0,Email,5.0,AGT047
TKT000043,CUST00512,Account Opening,Medium,Resolved,2022-10-21,2022-10-26,124.0,Chat,3.0,AGT017
