txn_id,account_id,customer_id,txn_date,txn_month,txn_year,txn_quarter,txn_hour,txn_day_of_week,txn_type,category,amount,channel,status,is_fraud,balance_after,description,reference_no
TXN0000001,ACC000400,CUST00285,2021-09-13,2021-09,2021,Q3,1,Monday,Debit,Entertainment,1098.22,IMPS,Success,0,178195.72,Entertainment via IMPS,REF807362396
TXN0000002,ACC001389,CUST00983,2020-06-10,2020-06,2020,Q2,8,Wednesday,Credit,Dividend,60270.43,Net Banking,Success,0,166606.77,Dividend via Net Banking,REF712633083
TXN0000003,ACC000278,CUST00200,2021-03-29,2021-03,2021,Q1,2,Monday,Credit,Salary Credit,87427.53,UPI,Success,0,467185.06,Salary Credit via UPI,REF724442932
TXN0000004,ACC000501,CUST00350,2024-11-11,2024-11,2024,Q4,6,Monday,Debit,Food & Dining,1646.77,Net Banking,Pending,0,11555258.58,Food & Dining via Net Banking,REF977380506
TXN0000005,ACC001177,CUST00827,2022-05-07,2022-05,2022,Q2,17,Saturday,Credit,Dividend,56578.32,ATM,Success,0,3086614.17,Dividend via ATM,REF113531224
TXN0000006,ACC003635,CUST02577,2022-08-30,2022-08,2022,Q3,20,Tuesday,Debit,Food & Dining,234.09,IMPS,Success,0,348177.35,Food & Dining via IMPS,REF269469744
TXN0000007,ACC001309,CUST00926,2023-08-18,2023-08,2023,Q3,16,Friday,Debit,Rent,90908.67,ATM,Success,0,225957.08,Rent via ATM,REF235346114
TXN0000008,ACC004020,CUST02843,2021-04-15,2021-04,2021,Q2,7,Thursday,Debit,Rent,19590.0,RTGS,Success,0,20210.83,Rent via RTGS,REF958984851
TXN0000009,ACC000702,CUST00495,2021-04-30,2021-04,2021,Q2,10,Friday,Debit,EMI Debit,65704.98,RTGS,Success,0,370141.1,EMI Debit via RTGS,REF545125683
TXN0000010,ACC004067,CUST02876,2023-07-30,2023-07,2023,Q3,14,Sunday,Credit,Interest Credit,46124.19,Mobile Banking,Success,0,1482362.79,Interest Credit via Mobile Banking,REF150466044
TXN0000011,ACC000310,CUST00224,2020-06-07,2020-06,2020,Q2,16,Sunday,Debit,Government Services,9719.31,NEFT,Success,0,459751.93,Government Services via NEFT,REF479349146
TXN0000012,ACC001073,CUST00750,2024-04-26,2024-04,2024,Q2,4,Friday,Credit,Dividend,98342.22,ATM,Success,0,194731.33,Dividend via ATM,REF373703825
TXN0000013,ACC003169,CUST02246,2021-10-01,2021-10,2021,Q4,14,Friday,Debit,Fund Transfer,975401.16,Net Banking,Success,0,2486750.06,Fund Transfer via Net Banking,REF839440458
TXN0000014,ACC004039,CUST02857,2024-09-24,2024-09,2024,Q3,9,Tuesday,Debit,Rent,63686.81,RTGS,Success,0,1382499.62,Rent via RTGS,REF607272587
TXN0000015,ACC003883,CUST02753,2024-08-24,2024-08,2024,Q3,20,Saturday,Debit,Utility Bills,8116.34,IMPS,Failed,0,4614703.3,Utility Bills via IMPS,REF194937941
TXN0000016,ACC001647,CUST01174,2024-09-04,2024-09,2024,Q3,8,Wednesday,Debit,Government Services,5331.98,Net Banking,Success,0,168598.29,Government Services via Net Banking,REF746417870
TXN0000017,ACC000945,CUST00657,2023-12-20,2023-12,2023,Q4,8,Wednesday,Credit,Dividend,6174.53,UPI,Success,0,3272140.8,Dividend via UPI,REF490897852
TXN0000018,ACC002178,CUST01553,2020-09-02,2020-09,2020,Q3,13,Wednesday,Debit,Rent,98742.32,RTGS,Success,0,5029071.16,Rent via RTGS,REF110274312
TXN0000019,ACC000228,CUST00160,2020-02-27,2020-02,2020,Q1,20,Thursday,Debit,Education,141671.35,IMPS,Success,0,3100.94,Education via IMPS,REF412884455
TXN0000020,ACC000209,CUST00146,2023-09-11,2023-09,2023,Q3,1,Monday,Debit,Investment,258438.57,RTGS,Success,0,0.0,Investment via RTGS,REF159135834
TXN0000021,ACC000895,CUST00621,2023-10-12,2023-10,2023,Q4,2,Thursday,Credit,Salary Credit,497196.13,RTGS,Success,0,831422.22,Salary Credit via RTGS,REF424902848
TXN0000022,ACC001936,CUST01379,2021-09-29,2021-09,2021,Q3,16,Wednesday,Debit,Government Services,635.34,Net Banking,Success,0,1498404.06,Government Services via Net Banking,REF415054375
TXN0000023,ACC000798,CUST00558,2021-11-05,2021-11,2021,Q4,22,Friday,Credit,Interest Credit,22361.7,Branch,Success,0,8813054.49,Interest Credit via Branch,REF354479332
TXN0000024,ACC000508,CUST00355,2022-05-04,2022-05,2022,Q2,14,Wednesday,Credit,Interest Credit,49975.74,Mobile Banking,Pending,0,2100717.0,Interest Credit via Mobile Banking,REF119331294
TXN0000025,ACC003445,CUST02442,2023-02-24,2023-02,2023,Q1,4,Friday,Credit,Cash Deposit,199637.01,ATM,Success,0,621212.86,Cash Deposit via ATM,REF274343927
TXN0000026,ACC004130,CUST02919,2021-12-27,2021-12,2021,Q4,10,Monday,Debit,Cash Withdrawal,3083.99,ATM,Success,0,281128.74,Cash Withdrawal via ATM,REF410423351
TXN0000027,ACC000647,CUST00454,2020-11-12,2020-11,2020,Q4,1,Thursday,Debit,Education,87990.9,IMPS,Success,0,0.0,Education via IMPS,REF637433635
TXN0000028,ACC001811,CUST01288,2021-02-11,2021-02,2021,Q1,0,Thursday,Credit,Dividend,8565.83,Net Banking,Success,0,2494105.48,Dividend via Net Banking,REF519430923
TXN0000029,ACC003168,CUST02245,2024-06-05,2024-06,2024,Q2,19,Wednesday,Debit,Tax Payment,96854.44,NEFT,Success,0,251672.45,Tax Payment via NEFT,REF474894498
TXN0000030,ACC002310,CUST01644,2021-08-03,2021-08,2021,Q3,0,Tuesday,Credit,Cash Deposit,99825.2,Branch,Success,0,320340.83,Cash Deposit via Branch,REF663684504
TXN0000031,ACC004250,CUST02999,2024-06-13,2024-06,2024,Q2,17,Thursday,Credit,Dividend,30053.0,ATM,Success,0,3907905.6,Dividend via ATM,REF752660868
TXN0000032,ACC002387,CUST01695,2024-03-28,2024-03,2024,Q1,8,Thursday,Debit,Tax Payment,362164.39,Net Banking,Success,0,0.0,Tax Payment via Net Banking,REF627828201
TXN0000033,ACC000682,CUST00479,2021-09-06,2021-09,2021,Q3,4,Monday,Debit,Food & Dining,3251.15,ATM,Success,0,6268694.1,Food & Dining via ATM,REF851131669
TXN0000034,ACC003887,CUST02756,2023-11-22,2023-11,2023,Q4,4,Wednesday,Debit,Investment,47244.99,UPI,Success,0,45576.07,Investment via UPI,REF153202818
TXN0000035,ACC001707,CUST01210,2022-09-17,2022-09,2022,Q3,18,Saturday,Debit,Insurance Premium,3290.4,UPI,Failed,0,12179562.02,Insurance Premium via UPI,REF622150629
TXN0000036,ACC001478,CUST01049,2022-12-29,2022-12,2022,Q4,6,Thursday,Debit,Entertainment,1545.3,ATM,Success,0,4149480.17,Entertainment via ATM,REF995582982
TXN0000037,ACC002842,CUST02014,2020-05-06,2020-05,2020,Q2,0,Wednesday,Credit,Interest Credit,39847.68,Mobile Banking,Success,0,321283.91,Interest Credit via Mobile Banking,REF726925838
TXN0000038,ACC002820,CUST01999,2020-12-30,2020-12,2020,Q4,9,Wednesday,Debit,Education,3507.08,Net Banking,Success,0,27256.01,Education via Net Banking,REF978671067
TXN0000039,ACC002524,CUST01792,2023-11-27,2023-11,2023,Q4,10,Monday,Credit,Dividend,49826.36,RTGS,Success,0,66301.96,Dividend via RTGS,REF510915918
TXN0000040,ACC004235,CUST02988,2020-02-02,2020-02,2020,Q1,0,Sunday,Credit,Salary Credit,420116.39,UPI,Failed,0,759111.46,Salary Credit via UPI,REF426221227
TXN0000041,ACC001567,CUST01117,2024-03-27,2024-03,2024,Q1,13,Wednesday,Credit,Refund,7070.64,UPI,Success,0,24380.39,Refund via UPI,REF330439872
TXN0000042,ACC002079,CUST01478,2021-10-07,2021-10,2021,Q4,2,Thursday,Debit,Travel,84973.14,RTGS,Success,0,6507620.4,Travel via RTGS,REF315950013
TXN0000043,ACC002062,CUST01467,2021-04-02,2021-04,2021,Q2,10,Friday,Debit,Education,55521.14,UPI,Failed,0,169901.49,Education via UPI,REF229283221
TXN0000044,ACC000746,CUST00522,2021-05-09,2021-05,2021,Q2,0,Sunday,Debit,Cash Withdrawal,46817.22,NEFT,Success,0,597023.97,Cash Withdrawal via NEFT,REF359989187
TXN0000045,ACC001908,CUST01356,2021-05-18,2021-05,2021,Q2,22,Tuesday,Debit,EMI Debit,89069.76,Mobile Banking,Success,0,5720817.82,EMI Debit via Mobile Banking,REF871468670
TXN0000046,ACC003713,CUST02635,2024-05-06,2024-05,2024,Q2,11,Monday,Debit,Rent,87044.97,Branch,Success,0,365538.26,Rent via Branch,REF745859720
TXN0000047,ACC002213,CUST01577,2020-02-22,2020-02,2020,Q1,10,Saturday,Credit,Dividend,23989.96,NEFT,Pending,0,68809.49,Dividend via NEFT,REF606985144
TXN0000048,ACC000100,CUST00070,2023-09-14,2023-09,2023,Q3,8,Thursday,Debit,Education,16244.79,Mobile Banking,Pending,0,28105.13,Education via Mobile Banking,REF695325107
TXN0000049,ACC002636,CUST01870,2023-05-02,2023-05,2023,Q2,22,Tuesday,Credit,Interest Credit,21480.24,ATM,Success,0,447332.47,Interest Credit via ATM,REF753477129
TXN0000050,ACC000582,CUST00407,2022-03-27,2022-03,2022,Q1,19,Sunday,Debit,Cash Withdrawal,811.08,Net Banking,Success,0,395338.1,Cash Withdrawal via Net Banking,REF743977563
TXN0000051,ACC002974,CUST02105,2022-01-27,2022-01,2022,Q1,0,Thursday,Debit,Shopping,14867.47,Mobile Banking,Success,0,60350.49,Shopping via Mobile Banking,REF406004617
TXN0000052,ACC000118,CUST00082,2022-10-14,2022-10,2022,Q4,19,Friday,Debit,EMI Debit,118715.18,NEFT,Success,0,167382.04,EMI Debit via NEFT,REF113703296
TXN0000053,ACC001874,CUST01332,2020-07-07,2020-07,2020,Q3,13,Tuesday,Debit,Medical,84255.93,NEFT,Success,0,0.0,Medical via NEFT,REF111451822
TXN0000054,ACC004115,CUST02908,2023-04-11,2023-04,2023,Q2,21,Tuesday,Debit,Utility Bills,6739.55,Mobile Banking,Success,0,2693186.4,Utility Bills via Mobile Banking,REF743394959
TXN0000055,ACC000453,CUST00318,2024-02-17,2024-02,2024,Q1,6,Saturday,Debit,Shopping,12382.73,NEFT,Success,0,209193.27,Shopping via NEFT,REF595237386
